OpenTime,SOL-USD_Open,SOL-USD_High,SOL-USD_Low,SOL-USD_Close,SOL-USD_volume,CloseTime,SOL-QuoteAssetVolume,SOL-NumberOfTrades,SOL-TBBAV,SOL-TBQAV,SOL-ignore,ETH-USD_Open,ETH-USD_High,ETH-USD_Low,ETH-USD_Close,ETH-USD_volume,ETH-QuoteAssetVolume,ETH-NumberOfTrades,ETH-TBBAV,ETH-TBQAV,ETH-ignore,BTC-USD_Open,BTC-USD_High,BTC-USD_Low,BTC-USD_Close,BTC-USD_volume,BTC-QuoteAssetVolume,BTC-NumberOfTrades,BTC-TBBAV,BTC-TBQAV,BTC-ignore
2022-06-07 05:00:00,43.06,43.28,42.19,42.39,282578.03,2022-06-07 06:59:59.999,12043912.7478,20504.0,135947.43,5797325.0203,0.0,1873.15,1875.81,1851.62,1859.84,30973.7034,57614112.68889,33167.0,15707.4648,29214946.680855,0.0,31488.86,31543.4,31317.61,31373.1,1976.94291,62078490.6566787,44667.0,956.59417,30037188.4538942,0.0
2022-06-07 07:00:00,42.39,42.8,38.7,39.12,1620296.79,2022-06-07 08:59:59.999,65388246.7652,121089.0,773944.61,31250646.4539,0.0,1859.84,1862.81,1726.07,1742.46,328320.2764,582391619.432314,250744.0,154782.1838,274302174.738241,0.0,31373.1,31381.03,29295.18,29568.47,21645.22892,653061580.8390857,275747.0,10924.78625,328954020.1193669,0.0
2022-06-07 09:00:00,39.12,39.91,38.7,39.55,556951.49,2022-06-07 10:59:59.999,21844092.2658,41364.0,288181.6,11305907.6503,0.0,1742.46,1760.92,1725.13,1756.75,131317.1362,228459365.840225,98864.0,65866.8844,114583226.848333,0.0,29568.47,29668.1,29218.96,29563.62,12480.42631,367713531.5027622,171301.0,5187.71601,152722527.5248855,0.0
2022-06-07 11:00:00,39.55,39.68,38.87,39.18,326986.69,2022-06-07 12:59:59.999,12857609.7922,24654.0,149545.3,5880725.2134,0.0,1756.76,1764.76,1747.61,1754.25,80682.7509,141484190.37161,64331.0,42447.0039,74425344.818213,0.0,29563.61,29632.49,29401.0,29478.41,7167.73883,211535464.2867115,97698.0,2848.56054,84068883.6269761,0.0
2022-06-07 13:00:00,39.17,39.38,38.83,39.31,261597.39,2022-06-07 14:59:59.999,10242515.532,20431.0,131235.07,5139485.8977,0.0,1754.25,1764.7,1750.97,1763.03,45755.296,80411337.587633,44311.0,22406.4754,39375606.164881,0.0,29478.4,29598.75,29441.92,29585.12,3117.62397,92048568.360215,66021.0,1543.58663,45578590.3164166,0.0
2022-06-07 15:00:00,39.32,39.67,39.12,39.21,267412.32,2022-06-07 16:59:59.999,10533071.6481,18423.0,137463.22,5415131.3356,0.0,1763.04,1777.25,1760.04,1763.68,57166.8642,101112169.309804,56291.0,28316.7218,50075522.182077,0.0,29585.12,29733.63,29550.0,29561.54,3517.27696,104194390.8974091,71388.0,1567.86828,46447181.2405738,0.0
2022-06-07 17:00:00,39.21,39.44,37.12,38.07,1325007.39,2022-06-07 18:59:59.999,50616336.7102,55301.0,743963.77,28386367.2509,0.0,1763.67,1771.81,1747.42,1753.69,67677.8055,118957677.499451,66163.0,31805.7868,55907881.762929,0.0,29561.53,29655.96,29345.0,29521.5,4155.12527,122637820.1455353,85525.0,1844.47041,54446662.016876,0.0
2022-06-07 19:00:00,38.07,39.13,37.66,38.64,531416.38,2022-06-07 20:59:59.999,20347277.1879,36052.0,294056.02,11260929.8496,0.0,1753.7,1773.34,1736.17,1761.7,93499.0456,164088569.557531,84049.0,47480.7299,83338960.640362,0.0,29521.51,29715.57,29401.44,29564.48,5910.06872,174629001.4658789,102597.0,2945.52404,87047869.6208929,0.0
2022-06-07 21:00:00,38.64,39.64,38.48,39.14,490289.73,2022-06-07 22:59:59.999,19173557.1685,36069.0,248953.98,9736487.38,0.0,1761.7,1794.26,1757.3,1781.55,98875.4184,175834483.617853,93068.0,52298.1653,93013810.836731,0.0,29564.47,30041.25,29506.33,29891.17,9170.85388,273530163.4397625,146679.0,4285.26531,127809828.7619678,0.0
2022-06-07 23:00:00,39.14,39.3,38.63,39.13,270763.83,2022-06-08 00:59:59.999,10563127.3502,20192.0,127178.52,4962725.5811,0.0,1781.54,1791.87,1768.7,1782.7,55124.2221,98136650.480102,56532.0,27634.3138,49205475.707704,0.0,29891.17,29989.3,29747.62,29943.75,2972.8538,88868189.8414938,70701.0,1497.35067,44759747.3810664,0.0
2022-06-08 01:00:00,39.13,41.16,39.06,40.44,717785.72,2022-06-08 02:59:59.999,28774286.9594,46312.0,386187.46,15484860.9182,0.0,1782.7,1874.98,1779.67,1846.97,157413.8783,287777828.406845,141191.0,83697.8592,152980101.006337,0.0,29943.76,31429.85,29925.19,31059.71,11739.9018,360406561.8144265,168154.0,6392.83004,196278069.7458909,0.0
2022-06-08 03:00:00,40.44,41.36,40.02,40.41,529706.58,2022-06-08 04:59:59.999,21565100.7731,38106.0,236545.04,9646812.8932,0.0,1846.97,1870.0,1833.1,1840.83,100279.5468,185484989.733205,98536.0,52096.1016,96361774.58809,0.0,31059.71,31589.6,31048.99,31401.21,12097.94517,379625339.8032613,223279.0,6824.23865,214163743.7839487,0.0
2022-06-08 05:00:00,40.42,40.75,38.4,39.31,779072.52,2022-06-08 06:59:59.999,30744146.4496,65597.0,367159.36,14484296.5241,0.0,1840.83,1846.74,1753.03,1813.33,181485.9884,327647812.697514,171216.0,84536.4738,152737316.704583,0.0,31401.21,31568.0,30300.0,31125.33,16699.47295,519147340.3340484,264867.0,8969.33431,278870289.1193848,0.0
2022-06-08 07:00:00,39.32,39.9,38.57,39.84,471700.41,2022-06-08 08:59:59.999,18526597.8835,32456.0,263461.18,10350906.6848,0.0,1813.33,1828.74,1788.28,1820.75,87111.8966,157958283.037804,77725.0,44209.7649,80187715.876482,0.0,31125.32,31327.22,30738.51,31118.19,7396.85097,229923668.4277771,119102.0,3738.48269,116219926.4861571,0.0
2022-06-08 09:00:00,39.85,40.96,38.31,38.65,644943.44,2022-06-08 10:59:59.999,25424556.0428,47646.0,323660.08,12772568.3519,0.0,1820.76,1836.07,1765.28,1779.5,126758.8865,227795079.495076,119970.0,61574.8275,110739347.096505,0.0,31118.19,31244.16,29843.88,30026.72,12260.37673,372330979.8972795,179499.0,5303.20359,161087162.2453914,0.0
2022-06-08 11:00:00,38.64,39.55,38.28,39.32,354571.92,2022-06-08 12:59:59.999,13798708.4042,26037.0,186690.98,7270471.8454,0.0,1779.49,1818.31,1772.27,1811.43,124439.6398,222492354.995574,91576.0,77583.2952,138591000.686547,0.0,30026.71,30650.02,29872.55,30548.89,8910.35285,269432629.7100802,119014.0,4074.95736,123258610.9403093,0.0
2022-06-08 13:00:00,39.31,39.52,38.65,38.91,170241.26,2022-06-08 14:59:59.999,6651594.0257,12182.0,77130.19,3013501.399,0.0,1811.42,1817.99,1790.05,1796.79,43613.9031,78671908.719159,36621.0,21438.2312,38663281.798171,0.0,30548.89,30686.63,30328.85,30422.12,3015.51811,91940313.8816323,56103.0,1411.82275,43037067.1807013,0.0
